win rate of ROW preset vs COLUMN preset (A side), 20 seeds per pair, bot Normal
              Grave   Sustai  Rage L  Execut  Magic   Lastin  Bone T  Plague  Radian  Storm   Thunde  Arcane  
Grave Cycle    55%      0%      5%      0%     10%      5%      5%     40%     25%      0%     25%      5%    
Sustained Fire100%     55%     95%     55%     90%     85%     80%     90%     95%     90%    100%     90%    
Rage Link      90%      0%     30%     30%     20%     45%     75%     60%     90%     20%     60%     45%    
Execution Chain 95%     15%    100%     55%     80%     85%     75%     70%     95%     40%     90%     75%    
Magic Eaters   90%      5%     80%     25%     50%     75%     75%     75%     85%     50%     90%     75%    
Lasting Light  95%     25%     45%     15%     15%     40%     45%     60%     85%     35%     65%     45%    
Bone Tide      95%      5%     45%      5%     40%     65%     45%     65%     45%     35%     20%     70%    
Plague March   80%      5%     40%     25%     30%     15%     25%     50%     55%     15%     60%     25%    
Radiant Line   85%      0%     10%      5%      5%     25%     15%     30%     60%      0%     45%      0%    
Storm Wall    100%     40%     80%     70%     65%     65%     65%     85%     90%     60%    100%     60%    
Thunder Volley 75%      0%     10%     15%      0%     20%     10%     20%     45%      0%     45%      5%    
Arcane Siege   95%     15%     60%     35%     35%     85%     35%     75%     90%     20%     90%     45%    

preset          games  win%  ults med/q3/max  limitWins  shieldNeverRemovedWins
Grave Cycle       480   13%    2/2/3            0      0
Sustained Fire    480   86%    1/1/1            0      0
Rage Link         480   49%    1/1/1            0      0
Execution Chain   480   73%    1/1/1            0      0
Magic Eaters      480   64%    1/1/1            0      0
Lasting Light     480   48%    1/1/2            0      0
Bone Tide         480   49%    2/3/15            0      0
Plague March      480   38%    2/2/2            0      0
Radiant Line      480   26%    1/1/2            0      0
Storm Wall        480   71%    1/1/1            0      0
Thunder Volley    480   27%    1/1/1            0      0
Arcane Siege      480   56%    1/1/1            0      0

round-limit endings: 0%  median final round: 6  avg actions/battle: 28.9
