win rate of ROW preset vs COLUMN preset (A side), 20 seeds per pair, bot Normal
              Grave   Sustai  Rage L  Execut  Magic   Lastin  Bone T  Plague  Radian  Storm   Thunde  Arcane  
Grave Cycle    60%      0%     15%     15%     10%     15%      5%     30%     10%      0%     45%      0%    
Sustained Fire100%     50%    100%     90%     50%    100%     65%     95%    100%     80%    100%     60%    
Rage Link      85%     10%     55%     35%      5%     60%     40%     60%     75%     15%     80%     10%    
Execution Chain 75%      0%     35%     55%     40%     25%     60%     70%     80%     20%     95%     30%    
Magic Eaters   75%     20%     90%     35%     50%     95%     50%     80%     80%     55%     80%     40%    
Lasting Light  70%      0%     30%     60%      0%     40%     25%     90%     90%     25%     90%     10%    
Bone Tide     100%     10%     60%     30%     45%     85%     60%     85%     90%     50%     55%     75%    
Plague March   60%      5%      5%     30%     20%     10%      5%     60%     60%      0%     70%     20%    
Radiant Line   70%      0%     10%     25%      0%      5%     10%     35%     45%      5%     60%      5%    
Storm Wall     95%     10%     95%     60%     30%     85%     45%     95%     95%     40%    100%     55%    
Thunder Volley 45%      0%      5%     10%      5%      5%     30%     20%     35%      0%     80%      5%    
Arcane Siege   80%     10%     85%     50%     70%    100%     20%     90%     85%     60%     95%     40%    

preset          games  win%  ults med/q3/max  limitWins  shieldNeverRemovedWins
Grave Cycle       480   20%    2/2/3            0      0
Sustained Fire    480   86%    1/1/2            0      0
Rage Link         480   48%    1/1/2            0      0
Execution Chain   480   54%    1/1/1            0      0
Magic Eaters      480   68%    1/1/1            0      0
Lasting Light     480   46%    1/1/2            0      0
Bone Tide         480   64%    2/4/11            0      0
Plague March      480   31%    2/2/3            1      1
Radiant Line      480   26%    1/1/2            2      2
Storm Wall        480   69%    1/1/1            0      0
Thunder Volley    480   20%    1/1/2            0      0
Arcane Siege      480   68%    1/1/1            1      1

round-limit endings: 0%  median final round: 7  avg actions/battle: 34.8
